nazev,cena,puvod,obtiznost,obrazek,pocet
brokolicová polévka,20,K,1,usage/brokolicova-polevka.webp,8
hrachová polévka,20,K,1,usage/hrachova-polevka.jpg,8
marmeláda,20,K,1,usage/marmelada.jpeg,8
pečené brambory,17,K,1,usage/pecene-brambory.jpg,8
pudink,20,K,1,usage/pudink.jpeg,8
svíčková,21,K,1,usage/svickova-omacka.jpg,8
těstoviny s mákem,20,K,1,usage/testoviny-s-makem.jpg,8
uzené maso,20,K,1,usage/uzene-maso.jpg,8
cibčesnečka,20,O,1,usage/cibulovocesnekova-polevka.jpg,8
vegefazolačka,20,O,1,usage/fazolova-polevka.jpg,8
houskový knedlík,20,O,1,usage/houskovy-knedlik.jpg,8
nudle,21,O,1,usage/nudle.jpeg,8
špagety s kečupem,20,O,1,usage/spagety-s-kecupem.jpg,8
holandské kakao,20,P,1,usage/holandske-kakao.jpg,8
kuřecí nudličky WOK,21,P,1,usage/kureci-nudlicky-wok.jpg,8
majonéza,17,P,1,usage/majoneza.jpg,8
smažák,21,P,1,usage/smazeny-syr.jpg,8
holandské makronky,28,K,2,usage/makronky.jpg,8
těstovinový salát,29,K,2,usage/testovinovy-salat.jpg,8
houskový knedlík s masem a tatarkou,37,K,3,usage/houskovy-knedlik-s-masem-a-tatarkou.jpeg,8
křenovka,32,K,3,usage/krenovka.webp,8
WOK pánev,27,K,2,usage/kureci-nudlicky-wok-s-testovinami.jpeg,8
čokopudink,24,O,2,usage/cokoladovy-pudink.jpg,8
namazané palačinky,29,O,2,usage/palacinky-s-marmeladou.jpeg,8
pudinkový dortík,28,O,2,usage/pudinkovy-dortik.webp,8
tatarka,27,O,2,usage/tatarka.jpeg,8
alpský knedlík,28,P,2,usage/alpsky-knedlik-s-pudinkem.webp,8
gnocchi jak v neděli,29,P,2,usage/gnocci-na-smetane.jpg,8
kuřecí steak (příloha included),28,P,2,usage/kureci-steak-s-pecenymi-bramborami.jpeg,8
špagety s párečkem na kolečka,24,P,2,usage/spagety-s-pareckem-na-kolecka.jpeg,8
smažák v dětském menu,50,K,3,usage/smazeny-syr-s-pecenymi-bramborami-a-tatarkou.png,8
lepší smetanový WOK kastról,32,O,3,usage/kureci-nudlicky-wok-se-smetanou-a-pecenymi-bramborami.jpeg,8
zelňačka,32,O,3,usage/zeleninova-polevka.jpeg,8
fazolačka,30,P,3,usage/fazolova-polevka-s-uzenym-masem.jpg,8
guláš,32,P,3,usage/gulas.jpeg,8
svíčková se šesti,50,P,3,usage/svickova-se-sesti.jpeg,8
