nazev,picture,typ,cislo,pocet
zlatá helma,usage/Golden_Helmet_JE2_BE2.webp,meč,1,6
železná helma,usage/Iron_Helmet_JE2_BE2.webp,meč,2,6
diamantová helma,usage/Diamond_Helmet_JE2_BE2.webp,meč,3,6
netheritová helma,usage/Netherite_Helmet_JE2_BE1.webp,meč,4,6
zlatá zbroj,usage/Golden_Chestplate_JE2_BE2.webp,luk,5,6
železná zbroj,usage/Iron_Chestplate_JE2_BE2.webp,luk,6,6
diamantová zbroj,usage/Diamond_Chestplate_JE3_BE2.webp,luk,7,6
netheritová zbroj,usage/Netherite_Chestplate_JE2_BE1.webp,luk,8,6
zlaté kalhoty,usage/Golden_Leggings_JE2_BE2.png,meč,3,6
železné kalhoty,usage/Iron_Leggings_JE2_BE2.png,meč,4,6
diamantové kalhoty,usage/Diamond_Leggings_JE2_BE2.png,meč,5,6
netheritové kalhoty,usage/Netherite_Leggings_JE3_BE2.png,meč,6,6
zlaté boty,usage/Golden_Boots_JE2_BE2.png,luk,1,6
železné boty,usage/Iron_Boots_JE2_BE2.png,luk,2,6
diamantové boty,usage/Diamond_Boots_JE2_BE2.png,luk,3,6
netheritové boty,usage/Netherite_Boots_JE2_BE1.png,luk,4,6
dřevěný meč,usage/Wooden_Sword_JE2_BE2.webp,meč,1,5
kamenný meč,usage/Stone_Sword_JE2_BE2.webp,meč,2,5
zlatý meč,usage/Golden_Sword_JE3_BE2.webp,meč,3,5
železný meč,usage/Iron_Sword_JE2_BE2.webp,meč,5,5
diamantový meč,usage/Diamond_Sword_JE3_BE3.webp,meč,6,5
netheritový meč,usage/Netherite_Sword_JE2_BE2.webp,meč,7,5
nenatažený luk,usage/Bow_JE2_BE1.webp,luk,1,5
středně nat. luk,usage/Bow_Pull_0_JE1_BE1.webp,luk,3,5
natažený luk,usage/Bow_Pull_1_JE1_BE1.webp,luk,5,5
kriticky nat. luk,usage/Bow_Pull_2_JE1_BE1.webp,luk,7,5
očarovaný luk,usage/Enchanted_Bow.webp,luk,9,5
