stanoviste,pismeno,cislo,zvire,stat
15,K,79,krokodýl,Francie
17,C,100,veverka,Peru
18,S,78,ježek,Jihoafrická republika
20,N,59,velryba,Indie
22,U,82,králík,Indonésie
24,E,18,orel,Portugalsko
30,D,88,sova,Japonsko
31,M,23,kočka,Itálie
35,C,26,tygr,Španělsko
36,U,95,opice,Česká republika
38,E,71,puma,Finsko
39,N,58,nosorožec,Kolumbie
40,L,18,tučňák,Kanada
41,L,11,hroch,Velká Británie
43,S,20,koala,Čína
47,Z,40,medvěd,Nový Zéland
50,J,44,slon,Vietnam
51,M,49,rys,Island
52,S,9,jelen,Egypt
53,N,8,želva,Argentina
54,M,71,šimpanz,Polsko
56,J,71,kůň,Řecko
57,Z,89,jaguár,Slovensko
61,C,45,lama,Norsko
67,T,60,gorila,Švédsko
69,O,8,alpaka,Keňa
70,Z,25,liška,Jižní Korea
71,R,36,papoušek,Švýcarsko
73,C,87,vlk,USA
75,O,42,žirafa,Austrálie
80,R,12,gepard,Chile
82,C,36,lev,Nigérie
85,J,20,plameňák,Rakousko
87,E,33,velbloud,Brazílie
88,T,60,kobra,Turecko
92,R,27,pes,Saúdská Arábie
93,D,55,delfín,Mexiko
95,M,15,zebra,Maroko
98,Z,68,klokan,Německo
99,B,41,panda,Thajsko
